code,cxcode,name
206018,0P0000XUIE,鹏华产业债债券
000215?,0P0000ZAPZ,广发趋势灵活配置混合A
519062?,0P00014GR9,海富通阿尔法对冲混合A
002146?,0P000179G7,长安鑫益增强混合A
001316?,0P0001617J,安信稳健增值灵活配置混合A
217022?,0P0000VK5Y,招商产业债券A
161716?,0P00015I99,招商双债增强债券(LOF)C
005852?,0P0001D4BB,中银稳健添利债券C
110008?,F0000003YA,易方达稳健收益债券-B
000973?,0P000155LJ,新华增盈回报债券
000045?,0P0000Y3WR,工银产业债券A
003547,0P00018WDP,鹏华丰禄债券
000345,0P0000ZQ2Z,鹏华丰融定期开放债券
000762?,0P00019NHQ,汇添富绝对收益策略定期开放混合A
000121?,0P0000Z3OX,华夏永福混合A
162205?,F0000003XF,泰达宏利风险预算混合
202101,F020202101,南方宝元债券A
110011?,F0000004AI,易方达中小盘混合
519712?,0P0000WEF3,交银阿尔法核心混合
110001?,F020110001,易方达平稳增长混合
519069?,F0000004E2,汇添富价值精选混合A
110011?,F0000004AI,易方达中小盘混合
519736?,0P00012MO2,交银新成长混合
001938,0P00016WFU,中欧时代先锋股票A
450009,0P0000Q3WN,国富中小盘股票
161005,F0000003YD,富国天惠成长混合(LOF)A
163402,F0000003YF,兴全趋势投资混合(LOF)
000082?,0P0000YNF7,嘉实研究阿尔法股票
460009?,0P0000O85P,华泰柏瑞量化先行混合
001974?,0P000182AO,景顺长城量化新动力股票
270002,F0000003WF,广发稳健增长混合
570005,F0000004GZ,诺德成长优势混合
000121?,0P0000Z3OX,华夏永福混合A
000762?,0P00019NHQ,汇添富绝对收益策略定期开放混合A
002227,0P00017IFX,长城新优选混合A
070032?,0P0000W8X4,嘉实优化红利混合
